번호,단어,병음,뜻,음독,예문1_중국어,예문1_한국어,예문1_병음,예문2_중국어,예문2_한국어,예문2_병음,예문3_중국어,예문3_한국어,예문3_병음,자주쓰는패턴1,자주쓰는패턴2,자주쓰는패턴3,학습포인트1,학습포인트2
45,可能,kě néng,가능하다/아마,가능,他可能还在路上。,그는 아마 아직 오는 중일 거야.,tā kě néng hái zài lù shàng。,你觉得他可能会迟到吗？,그가 늦을 수도 있다고 생각해?,nǐ jué de tā kě néng huì chí dào ma？,如果太堵的话，他可能来不及。,너무 막히면 그는 시간에 못 맞출 수도 있어.,rú guǒ tài dǔ de huà， tā kě néng lái bù jí。,可能……,如果……的话，……,,"“可能”는 문장을 부드럽게 이어 주거나, 말투를 조절해 주는 고빈도 표현이다.",비슷한 내용도 “可能” 하나로 말맛이 달라지므로 짧은 문장째 통으로 익히는 게 좋다.
46,桌子,zhuō zi,책상,탁자,桌子上我给你留了个位置。,테이블에 네 자리 하나 남겨 놨어.,zhuō zi shàng wǒ gěi nǐ liú le gè wèi zhì。,这张桌子放这儿合适吗？,이 테이블 여기 두는 게 괜찮아?,zhè zhāng zhuō zi fàng zhè ér hé shì ma？,要是太挤，我们换张桌子。,너무 좁으면 테이블 바꾸자.,yào shì tài jǐ， wǒ men huàn zhāng zhuō zi。,,,,“桌子”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
47,打电话,dǎ diàn huà,전화하다,타전화,我刚给他打电话了。,나 방금 그 사람한테 전화했어.,wǒ gāng gěi tā dǎ diàn huà le。,你现在方便打电话吗？,지금 전화해도 괜찮아?,nǐ xiàn zài fāng biàn dǎ diàn huà ma？,你到家以后给我打电话。,집에 도착한 다음에 나한테 전화해.,nǐ dào jiā yǐ hòu gěi wǒ dǎ diàn huà。,现在方便吗？,我刚……,,“打电话”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
48,鸡蛋,jī dàn,계란,계단,家里鸡蛋快吃完了。,집에 달걀이 거의 다 떨어졌다.,jiā lǐ jī dàn kuài chī wán le。,你要不要再买一盒鸡蛋？,달걀 한 판 더 살래?,nǐ yào bù yào zài mǎi yī hé jī dàn？,明天早上我准备用鸡蛋做个三明治。,내일 아침에는 달걀로 샌드위치를 만들 생각이다.,míng tiān zǎo shàng wǒ zhǔn bèi yòng jī dàn zuò gè sān míng zhì。,我准备……,要不……,,“鸡蛋”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
49,道歉,dào qiàn,사과하다,도겸,我已经跟他道歉了。,나는 이미 그 사람한테 사과했어.,wǒ yǐ jīng gēn tā dào qiàn le。,你打算什么时候道歉？,너 언제 사과할 생각이야?,nǐ dǎ suàn shén me shí hòu dào qiàn？,做错了就早点道歉，别拖。,잘못했으면 빨리 사과해. 끌지 말고.,zuò cuò le jiù zǎo diǎn dào qiàn， bié tuō。,我已经……了,,,“道歉”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
50,其实,qí shí,사실,기실,其实我也有点紧张。,사실 나도 좀 긴장돼.,qí shí wǒ yě yǒu diǎn jǐn zhāng。,其实你早就知道了吧？,사실 너는 이미 알고 있었지?,qí shí nǐ zǎo jiù zhī dào le ba？,其实这事没你想的那么难。,사실 이 일은 네가 생각하는 것만큼 어렵지 않아.,qí shí zhè shì méi nǐ xiǎng de nà me nán。,有点……,其实……,,"“其实”는 문장을 부드럽게 이어 주거나, 말투를 조절해 주는 고빈도 표현이다.",비슷한 내용도 “其实” 하나로 말맛이 달라지므로 짧은 문장째 통으로 익히는 게 좋다.
51,冰箱,bīng xiāng,냉장고,빙상,水果我先放冰箱里了。,과일은 내가 먼저 냉장고에 넣어 두었다.,shuǐ guǒ wǒ xiān fàng bīng xiāng lǐ le。,冰箱里还有喝的吗？,냉장고에 마실 거 남아 있어?,bīng xiāng lǐ hái yǒu hē de ma？,如果太占地方的话，就别都塞冰箱里了。,너무 자리 차지하면 전부 냉장고에 넣지는 마.,rú guǒ tài zhàn dì fāng de huà， jiù bié dōu sāi bīng xiāng lǐ le。,太……了,如果……的话，……,,“冰箱”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
52,左边,zuǒ biān,왼쪽,좌변,咖啡店就在地铁口左边。,카페는 지하철 출구 왼쪽에 바로 있어.,kā fēi diàn jiù zài dì tiě kǒu zuǒ biān。,你是在左边那排座位吗？,너 왼쪽 줄 좌석 쪽에 있어?,nǐ shì zài zuǒ biān nà pái zuò wèi ma？,你先坐左边那个位置，我马上过去。,"너는 왼쪽 그 자리 먼저 앉아, 내가 바로 갈게.",nǐ xiān zuò zuǒ biān nà ge wèi zhì， wǒ mǎ shàng guò qù。,……过,,,“左边”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
53,请客,qǐng kè,한턱내다,청객,这次我请客。,이번엔 내가 살게.,zhè cì wǒ qǐng kè。,今天谁请客啊？,오늘 누가 쏘는 거야?,jīn tiān shuí qǐng kè a？,下次见面我再请客。,다음에 만나면 그때 내가 살게.,xià cì jiàn miàn wǒ zài qǐng kè。,,,,“请客”는 밥·커피를 사겠다고 하거나 누가 계산할지 말할 때 바로 쓰는 실전 표현이다.,“我请客 / 谁请客 / 下次我请客” 세 덩어리만 익혀도 회식·약속 대화에서 바로 쓸 수 있다.
54,右边,yòu biān,오른쪽,우변,右边那条路人少一点。,오른쪽 길이 사람이 좀 덜 많아.,yòu biān nà tiáo lù rén shǎo yì diǎn。,你看到右边那家便利店了吗？,오른쪽에 있는 저 편의점 보여?,nǐ kàn dào yòu biān nà jiā biàn lì diàn le ma？,你先往右边走，到路口再给我打电话。,너 먼저 오른쪽으로 가다가 사거리에서 다시 전화해.,nǐ xiān wǎng yòu biān zǒu， dào lù kǒu zài gěi wǒ dǎ diàn huà。,,,,“右边”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
55,送,sòng,보내다/데려다주다,송,我送你到门口吧。,내가 문 앞까지 바래다줄게.,wǒ sòng nǐ dào mén kǒu ba。,等会儿你方便送我一下吗？,이따 나 좀 데려다줄 수 있어?,děng huì er nǐ fāng biàn sòng wǒ yī xià ma？,如果顺路的话，你送我到地铁站就行。,가는 길이면 지하철역까지만 데려다줘.,rú guǒ shùn lù de huà， nǐ sòng wǒ dào dì tiě zhàn jiù xíng。,如果……的话，……,,,“送”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
56,对面,duì miàn,맞은편,대면,便利店就在马路对面。,편의점이 바로 길 건너편에 있어.,biàn lì diàn jiù zài mǎ lù duì miàn。,你看到对面那家店了吗？,너 맞은편 저 가게 보여?,nǐ kàn dào duì miàn nà jiā diàn le ma？,你先在对面等我，我马上过去。,너 먼저 맞은편에서 기다려. 나 금방 갈게.,nǐ xiān zài duì miàn děng wǒ， wǒ mǎ shàng guò qù。,……过,,,“对面”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
57,接,jiē,맞이하다/받다,접,我等会儿去地铁站接你。,나 이따 지하철역에 너 데리러 갈게.,wǒ děng huì er qù dì tiě zhàn jiē nǐ。,你需要我去接你吗？,내가 데리러 갈까?,nǐ xū yào wǒ qù jiē nǐ ma？,你到了给我打电话，我马上出来接。,도착하면 전화해. 바로 나가서 데릴게.,nǐ dào le gěi wǒ dǎ diàn huà， wǒ mǎ shàng chū lái jiē。,,,,“接”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
58,附近,fù jìn,근처,부근,这附近吃饭还挺方便的。,이 근처는 밥 먹기 꽤 편하다.,zhè fù jìn chī fàn hái tǐng fāng biàn de。,你现在就在附近吗？,너 지금 바로 근처야?,nǐ xiàn zài jiù zài fù jìn ma？,你到附近以后给我发个消息。,근처에 도착하면 나한테 메시지 하나 줘.,nǐ dào fù jìn yǐ hòu gěi wǒ fā gè xiāo xī。,,,,“附近”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
59,关心,guān xīn,걱정하고 챙기다,관심,谢谢你关心，我已经好多了。,"걱정해줘서 고마워, 많이 괜찮아졌어.",xiè xiè nǐ guān xīn， wǒ yǐ jīng hǎo duō le。,最近大家都挺关心你的。,요즘 다들 네 걱정을 많이 하더라.,zuì jìn dà jiā dōu tǐng guān xīn nǐ de。,这件事很多人都关心，我们早点说清楚吧。,"이 일은 많은 사람들이 신경 쓰고 있으니, 우리 빨리 분명히 말하자.",zhè jiàn shì hěn duō rén dōu guān xīn， wǒ men zǎo diǎn shuō qīng chǔ ba。,我已经……了,……吧,,“关心”는 상대 상태를 걱정하거나 신경 쓰고 있다는 뜻으로 실제 대화에서 자주 쓰인다.,“谢谢你关心 / 大家都很关心 / 别太关心了”처럼 통문장으로 익히면 자연스럽다.
60,还是,hái shì,그래도/차라리,환시,外面太冷了，还是打车吧。,밖이 너무 추우니까 그래도 택시 타자.,wài miàn tài lěng le， hái shì dǎ chē ba。,我想了想，还是明天再说吧。,생각해보니 이건 내일 다시 말하는 게 낫겠어.,wǒ xiǎng le xiǎng， hái shì míng tiān zài shuō ba。,你要是累了，还是早点回去吧。,너 피곤하면 그래도 일찍 돌아가는 게 좋겠어.,nǐ yào shì lèi le， hái shì zǎo diǎn huí qù ba。,我想……,太……了,还是……吧,"“还是”는 문장을 부드럽게 이어 주거나, 말투를 조절해 주는 고빈도 표현이다.",비슷한 내용도 “还是” 하나로 말맛이 달라지므로 짧은 문장째 통으로 익히는 게 좋다.
61,充电器,chōng diàn qì,충전기,충전체,我忘了带充电器。,나 충전기 가져오는 걸 깜빡했다.,wǒ wàng le dài chōng diàn qì。,你有没有多的充电器？,여분 충전기 있어?,nǐ yǒu méi yǒu duō de chōng diàn qì？,要是你不用的话，先借我一下充电器。,네가 안 쓰면 충전기 좀 먼저 빌려줘.,yào shì nǐ bù yòng de huà， xiān jiè wǒ yī xià chōng diàn qì。,,,,“充电器”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
62,比较,bǐ jiào,비교적,비교,这家店比较安静，适合聊天。,이 가게는 비교적 조용해서 이야기하기 좋아.,zhè jiā diàn bǐ jiào ān jìng， shì hé liáo tiān。,你觉得哪个比较方便？,어느 쪽이 더 편할 것 같아?,nǐ jué de nǎ ge bǐ jiào fāng biàn？,我比较想先把这个做完。,나는 이걸 먼저 끝내고 싶어.,wǒ bǐ jiào xiǎng xiān bǎ zhè ge zuò wán。,比较……,A 比 B ……,,“比较”는 비교뿐 아니라 말을 부드럽게 만들 때도 자주 쓰는 핵심 부사다.,“比较安静 / 比较方便 / 比较想……”처럼 형용사·동사 앞에 붙여 연습하면 좋다.
63,电池,diàn chí,배터리,전지,这个遥控器的电池快没电了。,이 리모컨 배터리가 거의 다 됐다.,zhè ge yáo kòng qì de diàn chí kuài méi diàn le。,你家里还有电池吗？,집에 배터리 더 있어?,nǐ jiā lǐ hái yǒu diàn chí ma？,如果没电了，我下楼买两节电池。,배터리가 다 됐으면 내가 내려가서 두 개 사 올게.,rú guǒ méi diàn le， wǒ xià lóu mǎi liǎng jié diàn chí。,,,,“电池”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
64,重要,zhòng yào,중요하다,중요,这件事对我来说挺重要的。,이 일은 나한테 꽤 중요해.,zhè jiàn shì duì wǒ lái shuō tǐng zhòng yào de。,你觉得哪个更重要？,너는 뭐가 더 중요하다고 생각해?,nǐ jué de nǎ ge gèng zhòng yào？,不太重要的先放一放吧。,덜 중요한 건 일단 좀 미뤄 두자.,bù tài zhòng yào de xiān fàng yī fàng ba。,对我来说，……,不太……,,“重要”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 重要” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
65,学校,xué xiào,학교,학교,我刚从学校回来。,나 방금 학교에서 돌아왔어.,wǒ gāng cóng xué xiào huí lái。,学校离你家远吗？,학교가 네 집에서 멀어?,xué xiào lí nǐ jiā yuǎn ma？,到学校以后给我发个消息。,학교 도착하면 나한테 메시지 하나 보내.,dào xué xiào yǐ hòu gěi wǒ fā gè xiāo xī。,我刚……,,,“学校”는 학교·업무·협업 상황에서 바로 써먹기 좋은 핵심 표현이다.,보기·말하기·정리하기·보내기 같은 흐름 안에서 통째로 익히면 말하기가 자연스러워진다.
66,删,shān,지우다/삭제하다,산,这张照片我已经删了。,이 사진은 이미 지웠어.,zhè zhāng zhào piān wǒ yǐ jīng shān le。,这个文件能删吗？,이 파일 지워도 돼?,zhè ge wén jiàn néng shān ma？,如果没用了，就直接删了吧。,필요 없으면 그냥 지워.,rú guǒ méi yòng le， jiù zhí jiē shān le ba。,我已经……了,如果……的话，,,"“删”은 사진, 파일, 메시지를 지울 때 아주 자주 쓰는 구어 표현이다.",“删了 / 别删 / 直接删”처럼 짧은 덩어리로 익히면 실사용에 강하다.
67,打包,dǎ bāo,포장,타포,吃不完的话，我想打包。,다 못 먹겠으면 포장하고 싶어.,chī bù wán de huà， wǒ xiǎng dǎ bāo。,这个可以打包吗？,이거 포장돼?,zhè ge kě yǐ dǎ bāo ma？,你吃完以后帮我一起打包吧。,다 먹고 나면 나랑 같이 포장하자.,nǐ chī wán yǐ hòu bāng wǒ yì qǐ dǎ bāo ba。,我想……,,,“打包”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
68,打开,dǎ kāi,열다,타개,门我刚打开了。,문은 방금 열어 놨어.,mén wǒ gāng dǎ kāi le。,你能帮我打开吗？,나 좀 열어줄 수 있어?,nǐ néng bāng wǒ dǎ kāi ma？,打开以后记得关上。,열고 나면 다시 닫아 둬.,dǎ kāi yǐ hòu jì de guān shàng。,,,,“打开”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
69,买单,mǎi dān,계산하다,매단,这顿我来买单。,이번 건 내가 계산할게.,zhè dùn wǒ lái mǎi dān。,刚刚是不是你去买单的？,방금 계산하러 간 거 너였어?,gāng gāng shì bú shì nǐ qù mǎi dān de？,你先坐着，我去买单。,"너 먼저 앉아 있어, 내가 계산하고 올게.",nǐ xiān zuò zhe， wǒ qù mǎi dān。,,,,“买单”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
70,关,guān,닫다/끄다,관,不用的话，把页面关了就行。,안 쓸 거면 페이지 그냥 닫으면 돼.,bù yòng de huà， bǎ yè miàn guān le jiù xíng。,这个窗口怎么关？,이 창은 어떻게 닫아?,zhè ge chuāng kǒu zěn me guān？,你先别急着关，我还没看完。,나 아직 다 못 봤으니까 일단 닫지 마.,nǐ xiān bié jí zhe guān， wǒ hái méi kàn wán。,如果……的话，,,,"“关”는 문, 창문, 화면, 불을 끌 때 모두 자주 쓰는 기본 동사다.",“关门 / 关窗 / 关页面 / 关灯”처럼 대상을 바꿔 넣으며 연습해 보자.
71,商场,shāng chǎng,쇼핑몰,상장,我周末想去商场逛逛。,나 주말에 쇼핑몰 좀 둘러보고 싶어.,wǒ zhōu mò xiǎng qù shāng chǎng guàng guàng。,这附近有大一点的商场吗？,이 근처에 좀 큰 쇼핑몰 있어?,zhè fù jìn yǒu dà yī diǎn de shāng chǎng ma？,要不我们先在商场吃点东西，再去买衣服。,우리 먼저 쇼핑몰에서 뭐 좀 먹고 옷 보러 갈까?,yào bù wǒ men xiān zài shāng chǎng chī diǎn dōng xī， zài qù mǎi yī fú。,要不……,,,“商场”는 쇼핑·결제·비교 상황에서 활용도가 높은 표현이다.,가격·색상·사이즈를 묻는 짧은 질문형과 같이 익히면 실제 매장 회화에 바로 쓸 수 있다.
72,地址,dì zhǐ,주소,지지,地址我刚发给你了。,주소 방금 보냈어.,dì zhǐ wǒ gāng fā gěi nǐ le。,你收到地址了吗？,주소 받았어?,nǐ shōu dào dì zhǐ le ma？,如果找不到的话，直接按地址过来。,못 찾겠으면 주소대로 그냥 와.,rú guǒ zhǎo bú dào de huà， zhí jiē àn dì zhǐ guò lái。,……过,如果……的话，……,,“地址”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
73,付款,fù kuǎn,결제하다,부관,我已经付款了。,나는 이미 결제했다.,wǒ yǐ jīng fù kuǎn le。,这边是先付款还是后付款？,"여긴 선결제야, 후결제야?",zhè biān shì xiān fù kuǎn hái shì hòu fù kuǎn？,如果你不方便，我先付款也行。,네가 불편하면 내가 먼저 결제해도 된다.,rú guǒ nǐ bù fāng biàn， wǒ xiān fù kuǎn yě xíng。,我已经……了,,,“付款”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
74,方便,fāng biàn,편하다,방편,楼下就有便利店，买东西很方便。,아래층에 편의점이 있어서 뭐 사기 편해.,lóu xià jiù yǒu biàn lì diàn， mǎi dōng xī hěn fāng biàn。,你现在方便接电话吗？,지금 전화 받아도 돼?,nǐ xiàn zài fāng biàn jiē diàn huà ma？,方便的话，你把地址发我一下。,괜찮으면 주소 좀 보내줘.,fāng biàn de huà， nǐ bǎ dì zhǐ fā wǒ yī xià。,现在方便吗？,,,“方便”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 方便” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
75,颜色,yán sè,색깔,안색,这个颜色挺显白的。,이 색은 얼굴이 좀 환해 보이게 해.,zhè ge yán sè tǐng xiǎn bái de。,你觉得这个颜色太深了吗？,이 색이 너무 진하다고 생각해?,nǐ jué de zhè ge yán sè tài shēn le ma？,要不你试试另一个颜色。,다른 색도 한번 입어 볼래?,yào bù nǐ shì shì lìng yí gè yán sè。,太……了,要不……,,“颜色”는 쇼핑·결제·비교 상황에서 활용도가 높은 표현이다.,가격·색상·사이즈를 묻는 짧은 질문형과 같이 익히면 실제 매장 회화에 바로 쓸 수 있다.
76,眼镜,yǎn jìng,안경,안경,我刚把眼镜擦干净。,나 방금 안경 닦았어.,wǒ gāng bǎ yǎn jìng cā gān jìng。,你出门带眼镜了吗？,너 밖에 나갈 때 안경 챙겼어?,nǐ chū mén dài yǎn jìng le ma？,找不到眼镜的话我陪你一起找。,안경을 못 찾겠으면 내가 같이 찾아줄게.,zhǎo bú dào yǎn jìng de huà wǒ péi nǐ yì qǐ zhǎo。,我刚……,,,“眼镜”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
77,订票,dìng piào,표를 예매하다,정표,我已经订票了。,나는 이미 표를 예매했어.,wǒ yǐ jīng dìng piào le。,你回去要不要我帮你订票？,돌아가는 표 내가 대신 예매해 줄까?,nǐ huí qù yào bù yào wǒ bāng nǐ dìng piào？,再不订票，周末可能就没位置了。,지금 안 예매하면 주말엔 자리 없을 수도 있어.,zài bù dìng piào， zhōu mò kě néng jiù méi wèi zhì le。,我已经……了,可能……,,“订票”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
78,贵,guì,비싸다,귀,这家店的咖啡有点贵。,이 가게 커피는 좀 비싸.,zhè jiā diàn de kā fēi yǒu diǎn guì。,这个会不会太贵了？,이거 너무 비싼 거 아니야?,zhè ge huì bú huì tài guì le？,太贵的话我们换一家。,너무 비싸면 다른 데로 가자.,tài guì de huà wǒ men huàn yī jiā。,有点……,太……了,,“贵”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 贵” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
79,电量,diàn liàng,배터리 잔량,전량,我手机电量只剩百分之十几了。,내 휴대폰 배터리가 10몇 퍼센트밖에 안 남았어.,wǒ shǒu jī diàn liàng zhǐ shèng bǎi fēn zhī shí jǐ le。,你现在电量够吗？,너 지금 배터리 충분해?,nǐ xiàn zài diàn liàng gòu ma？,电量不够的话先充一会儿。,배터리 부족하면 먼저 좀 충전해.,diàn liàng bù gòu de huà xiān chōng yī huì er。,,,,“电量”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
80,杯子,bēi zi,컵,배자,杯子我给你放桌上了。,컵은 내가 테이블 위에 올려놨어.,bēi zi wǒ gěi nǐ fàng zhuō shàng le。,这个杯子是你的吗？,이 컵 네 거야?,zhè ge bēi zi shì nǐ de ma？,用完把杯子顺手洗一下。,다 쓰면 컵 그냥 같이 씻어 줘.,yòng wán bǎ bēi zi shùn shǒu xǐ yī xià。,,,,“杯子”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
81,找路,zhǎo lù,길을 찾다,조로,我刚刚还在找路。,나 방금까지 길 찾고 있었어.,wǒ gāng gāng hái zài zhǎo lù。,你还在找路吗？,너 아직도 길 찾는 중이야?,nǐ hái zài zhǎo lù ma？,要是还在找路，就先开导航吧。,아직도 길 찾는 중이면 일단 내비 켜.,yào shì hái zài zhǎo lù， jiù xiān kāi dǎo háng ba。,我刚……,,,“找路”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
82,安静,ān jìng,조용하다,안정,我还是喜欢安静一点的地方。,나는 그래도 좀 조용한 곳이 좋아.,wǒ hái shì xǐ huān ān jìng yì diǎn de dì fāng。,这边晚上安静吗？,여기 밤에는 조용해?,zhè biān wǎn shàng ān jìng ma？,要是想安静点，我们就坐里面吧。,좀 조용했으면 좋겠으면 안쪽에 앉자.,yào shì xiǎng ān jìng diǎn， wǒ men jiù zuò lǐ miàn ba。,,,,“安静”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 安静” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
83,账单,zhàng dān,계산서,장단,这个月的信用卡账单出来了。,이번 달 신용카드 청구서가 나왔어.,zhè ge yuè de xìn yòng kǎ zhàng dān chū lái le。,账单你看过了吗？,청구서 봤어?,zhàng dān nǐ kàn guò le ma？,要是账单金额不对，我们今天就先去问一下。,청구 금액이 안 맞으면 오늘 먼저 물어보자.,yào shì zhàng dān jīn é bú duì， wǒ men jīn tiān jiù xiān qù wèn yī xià。,要不……,,,“账单”은 식당·카드·휴대폰 요금처럼 돈이 오가는 상황에서 자주 들리는 말이다.,“看账单 / 对账单 / 账单出来了”를 같이 익히면 실생활에서 바로 반응하기 쉽다.
84,毛巾,máo jīn,수건,모건,毛巾我给你放浴室里了。,수건은 내가 욕실에 놔두었다.,máo jīn wǒ gěi nǐ fàng yù shì lǐ le。,你要用干毛巾吗？,마른 수건 필요해?,nǐ yào yòng gàn máo jīn ma？,洗完澡以后记得换条干毛巾。,샤워하고 나면 마른 수건으로 갈아 써.,xǐ wán zǎo yǐ hòu jì de huàn tiáo gàn máo jīn。,,,,“毛巾”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
85,翻译,fān yì,번역하다,번역,这句我先帮你翻译一下。,이 문장은 내가 먼저 번역해 줄게.,zhè jù wǒ xiān bāng nǐ fān yì yī xià。,这个词你知道怎么翻译吗？,이 단어를 어떻게 번역하는지 알아?,zhè ge cí nǐ zhī dào zěn me fān yì ma？,你先发我，我晚点帮你翻译。,"먼저 보내 줘, 내가 좀 있다 번역해 줄게.",nǐ xiān fā wǒ， wǒ wǎn diǎn bāng nǐ fān yì。,,,,“翻译”는 단어·문장 뜻을 물어보거나 도와줄 때 자주 쓰는 실용 동사다.,“怎么翻译 / 帮我翻译一下 / 我来翻译” 세 형태가 특히 자주 나온다.
86,床单,chuáng dān,침대 시트,상단,我昨天刚把床单换了。,나는 어제 막 침대 시트를 갈았다.,wǒ zuó tiān gāng bǎ chuáng dān huàn le。,这张床单干了吗？,이 침대 시트 말랐어?,zhè zhāng chuáng dān gàn le ma？,要是脏了，我们今晚就把床单洗了。,더러우면 오늘 밤에 침대 시트를 빨자.,yào shì zāng le， wǒ men jīn wǎn jiù bǎ chuáng dān xǐ le。,,,,“床单”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
87,排队,pái duì,줄 서다,배대,我刚到，门口已经在排队了。,나 방금 왔는데 입구에서 이미 줄 서고 있었어.,wǒ gāng dào， mén kǒu yǐ jīng zài pái duì le。,现在排队的人多吗？,지금 줄 선 사람 많아?,xiàn zài pái duì de rén duō ma？,如果不用排队的话，我们直接进去。,줄 안 서도 되면 바로 들어가자.,rú guǒ bù yòng pái duì de huà， wǒ men zhí jiē jìn qù。,我刚……,如果……的话，……,,“排队”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
88,行李,xíng lǐ,짐,행리,行李我昨晚就收好了。,짐은 어젯밤에 이미 다 쌌어.,xíng lǐ wǒ zuó wǎn jiù shōu hǎo le。,你的行李多不多？,너 짐 많아?,nǐ de xíng lǐ duō bù duō？,行李太多的话我下去接你。,짐 많으면 내가 내려가서 데리러 갈게.,xíng lǐ tài duō de huà wǒ xià qù jiē nǐ。,,,,“行李”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
