번호,단어,병음,뜻,음독,예문1_중국어,예문1_한국어,예문1_병음,예문2_중국어,예문2_한국어,예문2_병음,예문3_중국어,예문3_한국어,예문3_병음,자주쓰는패턴1,자주쓰는패턴2,자주쓰는패턴3,학습포인트1,학습포인트2
44,结果,jié guǒ,결과,결과,结果要到下午才出来。,결과는 오후가 돼야 나와.,jié guǒ yào dào xià wǔ cái chū lái。,结果出来了吗？,결과 나왔어?,jié guǒ chū lái le ma？,不管结果怎么样，我们先把眼前的事做好。,결과가 어떻든 일단 눈앞의 일부터 잘하자.,bù guǎn jié guǒ zěn me yàng， wǒ men xiān bǎ yǎn qián de shì zuò hǎo。,,,,“结果”는 학교·업무·협업 상황에서 바로 써먹기 좋은 핵심 표현이다.,보기·말하기·정리하기·보내기 같은 흐름 안에서 통째로 익히면 말하기가 자연스러워진다.
45,逛街,guàng jiē,거리 구경하다,광가,我周末想去逛街。,나 주말에 쇼핑하러 가고 싶어.,wǒ zhōu mò xiǎng qù guàng jiē。,你今天有空去逛街吗？,너 오늘 쇼핑하러 갈 시간 있어?,nǐ jīn tiān yǒu kòng qù guàng jiē ma？,逛街逛累了我们就找地方坐会儿。,쇼핑하다 지치면 어디 들어가서 좀 앉자.,guàng jiē guàng lèi le wǒ men jiù zhǎo dì fāng zuò huì er。,,,,“逛街”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
46,应该,yīng gāi,당연히/해야 한다,응당,现在应该差不多了。,이제 거의 됐을 거야.,xiàn zài yīng gāi chà bu duō le。,你觉得我应该先跟谁说？,내가 먼저 누구한테 말해야 할 것 같아?,nǐ jué de wǒ yīng gāi xiān gēn shuí shuō？,这件事你应该早点告诉我。,이 일은 네가 나한테 좀 더 일찍 말했어야 했어.,zhè jiàn shì nǐ yīng gāi zǎo diǎn gào sù wǒ。,应该……,,,"“应该”는 문장을 부드럽게 이어 주거나, 말투를 조절해 주는 고빈도 표현이다.",비슷한 내용도 “应该” 하나로 말맛이 달라지므로 짧은 문장째 통으로 익히는 게 좋다.
47,椅子,yǐ zi,의자,의자,那把椅子有点晃。,저 의자 좀 흔들려.,nà bǎ yǐ zi yǒu diǎn huǎng。,你要不要换把椅子？,의자 하나 바꿀래?,nǐ yào bù yào huàn bǎ yǐ zi？,椅子不够的话，我再搬一把。,의자가 부족하면 내가 하나 더 가져올게.,yǐ zi bù gòu de huà， wǒ zài bān yī bǎ。,有点……,要不……,,“椅子”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
48,开心,kāi xīn,즐겁다,개심,今天见到你我还挺开心的。,오늘 너 봐서 기분이 꽤 좋았어.,jīn tiān jiàn dào nǐ wǒ hái tǐng kāi xīn de。,你最近有什么开心的事吗？,너 요즘 기분 좋은 일 있어?,nǐ zuì jìn yǒu shén me kāi xīn de shì ma？,开心就好，别想太多。,"네가 즐거우면 됐어, 너무 많이 생각하지 마.",kāi xīn jiù hǎo， bié xiǎng tài duō。,,,,“开心”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 开心” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
49,想法,xiǎng fǎ,"생각, 의견",상법,这事我有个想法。,이 일에 대해 내 생각이 하나 있어.,zhè shì wǒ yǒu gè xiǎng fǎ。,你有什么想法吗？,무슨 생각 있어?,nǐ yǒu shén me xiǎng fǎ ma？,先把大家的想法都听一遍，再做决定。,일단 다들 생각을 한 번씩 들어보고 결정하자.,xiān bǎ dà jiā de xiǎng fǎ dōu tīng yī biàn， zài zuò jué dìng。,我有个……,……以后，再……,,“想法”는 의견을 묻고 제안할 때 아주 자주 나오는 자연스러운 회화 표현이다.,“有什么想法 / 我有个想法 / 听听你的想法”로 통째로 익히면 응용이 쉽다.
50,发消息,fā xiāo xī,메시지를 보내다,발소식,我到了以后给你发消息。,도착하면 너한테 메시지 보낼게.,wǒ dào le yǐ hòu gěi nǐ fā xiāo xī。,你给他发消息了吗？,그 사람한테 메시지 보냈어?,nǐ gěi tā fā xiāo xī le ma？,要是他还没回，我再给他发消息。,그가 아직 답을 안 했으면 내가 다시 메시지를 보낼게.,yào shì tā hái méi huí， wǒ zài gěi tā fā xiāo xī。,,,,“发消息”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
51,客人,kè rén,손님,객인,今天店里客人一直没断过。,오늘 가게에 손님이 계속 끊이지 않았어.,jīn tiān diàn lǐ kè rén yì zhí méi duàn guò。,客人到了没有？,"손님 도착했어, 안 했어?",kè rén dào le méi yǒu？,客人一到，你先叫我一下。,손님 오면 먼저 나 좀 불러 줘.,kè rén yī dào， nǐ xiān jiào wǒ yī xià。,……过,一直……,,"“客人”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟客人说 / 问客人 / 找客人”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
52,紧张,jǐn zhāng,긴장되다,긴장,我一上台就有点紧张。,무대에 올라가자마자 좀 긴장됐어.,wǒ yī shàng tái jiù yǒu diǎn jǐn zhāng。,你现在紧张吗？,너 지금 긴장돼?,nǐ xiàn zài jǐn zhāng ma？,别太紧张，正常说就行。,너무 긴장하지 말고 평소처럼 말하면 돼.,bié tài jǐn zhāng， zhèng cháng shuō jiù xíng。,有点……,,,“紧张”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 紧张” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
53,通知,tōng zhī,알림,통지,我刚收到一条通知。,방금 알림 하나 받았다.,wǒ gāng shōu dào yī tiáo tōng zhī。,你那边也收到通知了吗？,너도 알림 받았어?,nǐ nà biān yě shōu dào tōng zhī le ma？,要是没收到，我把通知转给你。,못 받았으면 내가 그 알림을 다시 전달해 줄게.,yào shì mò shōu dào， wǒ bǎ tōng zhī zhuǎn gěi nǐ。,我刚……,,,“通知”는 학교·업무·협업 상황에서 바로 써먹기 좋은 핵심 표현이다.,보기·말하기·정리하기·보내기 같은 흐름 안에서 통째로 익히면 말하기가 자연스러워진다.
54,放心,fàng xīn,안심하다,방심,你到了我就放心了。,네가 도착하니까 안심됐다.,nǐ dào le wǒ jiù fàng xīn le。,这样安排你放心吗？,이렇게 정하면 너 안심돼?,zhè yàng ān pái nǐ fàng xīn ma？,有我在，你放心吧。,내가 있으니까 안심해.,yǒu wǒ zài， nǐ fàng xīn ba。,,,,“放心”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 放心” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
55,男朋友,nán péng yǒu,남자친구,남붕우,我男朋友今天来接我。,오늘 내 남자친구가 데리러 와.,wǒ nán péng yǒu jīn tiān lái jiē wǒ。,这事你跟男朋友说了吗？,이 일 네 남자친구한테 말했어?,zhè shì nǐ gēn nán péng yǒu shuō le ma？,你要是拿不定主意，可以先跟男朋友商量一下。,결정을 못 하겠으면 먼저 남자친구랑 상의해 봐.,nǐ yào shì ná bù dìng zhǔ yì， kě yǐ xiān gēn nán péng yǒu shāng liáng yī xià。,,,,"“男朋友”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟男朋友说 / 问男朋友 / 找男朋友”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
56,生气,shēng qì,화나다,생기,这件事真的让我有点生气。,이 일은 진짜 좀 화나게 해.,zhè jiàn shì zhēn de ràng wǒ yǒu diǎn shēng qì。,你还在生气吗？,너 아직도 화났어?,nǐ hái zài shēng qì ma？,先别生气，我们慢慢说。,일단 화내지 말고 천천히 얘기하자.,xiān bié shēng qì， wǒ men màn màn shuō。,有点……,,,“生气”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 生气” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
57,重点,zhòng diǎn,"핵심, 요점",중점,你先说重点吧。,일단 핵심부터 말해.,nǐ xiān shuō zhòng diǎn ba。,你觉得这次的重点是什么？,이번 핵심이 뭐라고 생각해?,nǐ jué de zhè cì de zhòng diǎn shì shén me？,重点我记下来了，别的回头再看。,"핵심은 적어 뒀고, 나머지는 나중에 볼게.",zhòng diǎn wǒ jì xià lái le， bié de huí tóu zài kàn。,你觉得……怎么样？,……吧,,“重点”는 말 길어질 때 핵심만 집어 말하고 싶을 때 정말 자주 쓰는 회화어다.,“先说重点 / 抓重点 / 重点是什么”처럼 짧은 덩어리로 익혀 두면 실전성이 높다.
58,害怕,hài pà,무서워하다,해파,我其实有点害怕。,사실 좀 무서워.,wǒ qí shí yǒu diǎn hài pà。,你现在没那么害怕了吧？,너 이제는 그렇게 무섭진 않지?,nǐ xiàn zài méi nà me hài pà le ba？,如果你害怕的话，我陪你一起去。,무서우면 내가 같이 가 줄게.,rú guǒ nǐ hài pà de huà， wǒ péi nǐ yì qǐ qù。,有点……,其实……,如果……的话，……,“害怕”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 害怕” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
59,儿子,ér zi,아들,아자,我儿子今天没去学校。,우리 아들 오늘 학교 안 갔어.,wǒ ér zi jīn tiān méi qù xué xiào。,你儿子最近忙不忙？,네 아들 요즘 바빠?,nǐ ér zi zuì jìn máng bù máng？,等儿子放学了我再带他过去。,아들 하교하면 그때 데리고 갈게.,děng ér zi fàng xué le wǒ zài dài tā guò qù。,……过,,,"“儿子”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟儿子说 / 问儿子 / 找儿子”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
60,上传,shàng chuán,업로드하다,상전,文件我已经上传了。,파일은 내가 이미 업로드했어.,wén jiàn wǒ yǐ jīng shàng chuán le。,你现在能上传吗？,너 지금 업로드할 수 있어?,nǐ xiàn zài néng shàng chuán ma？,如果一直上传不上去，我们换电脑试试。,계속 업로드가 안 되면 컴퓨터를 바꿔서 해 보자.,rú guǒ yì zhí shàng chuán bù shàng qù， wǒ men huàn diàn nǎo shì shì。,我已经……了,一直……,,“上传”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
61,女儿,nǚ ér,딸,녀아,我女儿刚学会骑自行车。,우리 딸 방금 자전거 타는 거 배웠어.,wǒ nǚ ér gāng xué huì qí zì xíng chē。,你女儿今天心情怎么样？,네 딸 오늘 기분 어때?,nǐ nǚ ér jīn tiān xīn qíng zěn me yàng？,等女儿睡了以后我再回你。,딸 재우고 나서 답할게.,děng nǚ ér shuì le yǐ hòu wǒ zài huí nǐ。,……以后，再……,,,"“女儿”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟女儿说 / 问女儿 / 找女儿”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
62,分享,fēn xiǎng,공유하다,분향,这个视频我想分享给你。,이 영상 너한테 공유하고 싶어.,zhè ge shì pín wǒ xiǎng fēn xiǎng gěi nǐ。,你能把定位分享给我吗？,위치 공유해 줄 수 있어?,nǐ néng bǎ dìng wèi fēn xiǎng gěi wǒ ma？,觉得有用的话，也分享给别人吧。,쓸만하면 다른 사람한테도 공유해.,jué de yǒu yòng de huà， yě fēn xiǎng gěi bié rén ba。,我想……,,,“分享”는 위치·링크·영상·생각을 공유할 때 자주 쓰는 디지털 생활어다.,“分享给我 / 分享定位 / 分享给别人” 형태로 익히면 활용 범위가 넓다.
63,天气,tiān qì,날씨,천기,今天天气还不错。,오늘 날씨 꽤 좋다.,jīn tiān tiān qì hái bú cuò。,你那边天气怎么样？,너희 쪽 날씨 어때?,nǐ nà biān tiān qì zěn me yàng？,如果天气好的话，我们就出去走走。,날씨 좋으면 나가서 좀 걷자.,rú guǒ tiān qì hǎo de huà， wǒ men jiù chū qù zǒu zǒu。,如果……的话，……,,,“天气”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
64,结束,jié shù,끝내다,결속,会议刚结束。,회의가 방금 끝났어.,huì yì gāng jié shù。,你那边结束了吗？,너희 쪽은 끝났어?,nǐ nà biān jié shù le ma？,等这件事结束了，我们就去吃饭。,이 일이 끝나면 우리 밥 먹으러 가자.,děng zhè jiàn shì jié shù le， wǒ men jiù qù chī fàn。,,,,“结束”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
65,不太,bù tài,그다지,부태,我今天不太想出门。,나 오늘은 그다지 나가고 싶지 않아.,wǒ jīn tiān bù tài xiǎng chū mén。,你最近是不是不太忙？,너 요즘은 그다지 안 바빠?,nǐ zuì jìn shì bú shì bù tài máng？,这个我不太确定，得再看一下。,이건 확실하지 않아서 한 번 더 봐야 해.,zhè ge wǒ bù tài què dìng， děi zài kàn yī xià。,不太……,,,"“不太”는 문장을 부드럽게 이어 주거나, 말투를 조절해 주는 고빈도 표현이다.",비슷한 내용도 “不太” 하나로 말맛이 달라지므로 짧은 문장째 통으로 익히는 게 좋다.
66,外套,wài tào,겉옷,외투,这个外套今天还挺好搭。,이 外套는 오늘 꽤 잘 어울려.,zhè ge wài tào jīn tiān hái tǐng hǎo dā。,你看到我的外套了吗？,내 外套 봤어?,nǐ kàn dào wǒ de wài tào le ma？,如果外面下雨的话，别忘了带外套。,밖에 비 오면 外套 잊지 말고 챙겨.,rú guǒ wài miàn xià yǔ de huà， bié wàng le dài wài tào。,如果……的话，……,,,“外套”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
67,一般,yì bān,보통,일반,我一般早上不太说话。,나는 보통 아침에는 말이 별로 없어.,wǒ yì bān zǎo shàng bù tài shuō huà。,你一般几点下班？,너는 보통 몇 시에 퇴근해?,nǐ yì bān jǐ diǎn xià bān？,一般来说，这种事早点说比较好。,보통 이런 일은 빨리 말하는 게 더 좋아.,yì bān lái shuō， zhè zhǒng shì zǎo diǎn shuō bǐ jiào hǎo。,不太……,比较……,A 比 B ……,"“一般”는 문장을 부드럽게 이어 주거나, 말투를 조절해 주는 고빈도 표현이다.",비슷한 내용도 “一般” 하나로 말맛이 달라지므로 짧은 문장째 통으로 익히는 게 좋다.
68,鞋子,xié zi,신발,혜자,我今天先穿这双鞋子。,나는 오늘 먼저 이 신발을 신겠다.,wǒ jīn tiān xiān chuān zhè shuāng xié zi。,这双鞋子穿着舒服吗？,이 신발 신으면 편해?,zhè shuāng xié zi chuān zhe shū fú ma？,你换好鞋子我们就出门。,신발 갈아 신고 우리 나가자.,nǐ huàn hǎo xié zi wǒ men jiù chū mén。,,,,“鞋子”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
69,经常,jīng cháng,자주,경상,我最近经常加班。,요즘 나는 자주 야근해.,wǒ zuì jìn jīng cháng jiā bān。,你也经常点外卖吗？,너도 자주 배달 시켜 먹어?,nǐ yě jīng cháng diǎn wài mài ma？,我经常下班以后去跑步。,나는 자주 퇴근하고 나서 뛰러 가.,wǒ jīng cháng xià bān yǐ hòu qù pǎo bù。,,,,"“经常”는 문장을 부드럽게 이어 주거나, 말투를 조절해 주는 고빈도 표현이다.",비슷한 내용도 “经常” 하나로 말맛이 달라지므로 짧은 문장째 통으로 익히는 게 좋다.
70,包,bāo,가방,포,我今天就背这个包。,오늘은 이 가방 그냥 멜래.,wǒ jīn tiān jiù bèi zhè ge bāo。,你看到我的包了吗？,내 가방 봤어?,nǐ kàn dào wǒ de bāo le ma？,东西太多的话，就换个大一点的包吧。,짐이 너무 많으면 좀 더 큰 가방으로 바꾸자.,dōng xī tài duō de huà， jiù huàn gè dà yī diǎn de bāo ba。,如果……的话，……,,,“包”는 가방·짐을 말할 때 훨씬 범용적이고 자연스러운 회화어다.,“拿包 / 背包 / 包在哪儿”처럼 생활 동작과 붙여 익히면 바로 말하기 쉽다.
71,点开,diǎn kāi,"눌러 열다, 탭해서 열다",점개,你先点开那个链接看看。,일단 그 링크 눌러서 열어 봐.,nǐ xiān diǎn kāi nà ge liàn jiē kàn kàn。,这个要点开才能看到吗？,이건 눌러서 열어야 볼 수 있어?,zhè ge yào diǎn kāi cái néng kàn dào ma？,如果还是打不开，你就重新点开试试。,그래도 안 열리면 다시 눌러서 열어 봐.,rú guǒ hái shì dǎ bù kāi， nǐ jiù chóng xīn diǎn kāi shì shì。,如果……的话，……,试试,,“点开”는 앱·링크·사진을 열 때 실제 입말에서 “点击”보다 훨씬 자주 쓰인다.,“点开看看 / 点开链接 / 重新点开”처럼 조작 표현째 외워 두면 매우 실용적이다.
72,试衣间,shì yī jiān,탈의실,시의간,我先去试衣间试一下。,나 먼저 피팅룸 가서 입어볼게.,wǒ xiān qù shì yī jiān shì yī xià。,试衣间现在有人吗？,탈의실 지금 사람 있어?,shì yī jiān xiàn zài yǒu rén ma？,你从试衣间出来给我看看。,탈의실에서 나오면 나한테 보여 줘.,nǐ cóng shì yī jiān chū lái gěi wǒ kàn kàn。,,,,“试衣间”는 쇼핑·결제·비교 상황에서 활용도가 높은 표현이다.,가격·색상·사이즈를 묻는 짧은 질문형과 같이 익히면 실제 매장 회화에 바로 쓸 수 있다.
73,钥匙,yào shi,열쇠,약시,钥匙我放在门口柜子上了。,열쇠는 현관 앞 수납장 위에 뒀어.,yào shi wǒ fàng zài mén kǒu guì zi shàng le。,你看到我钥匙了吗？,내 열쇠 봤어?,nǐ kàn dào wǒ yào shi le ma？,出门的时候记得带上钥匙。,나갈 때 열쇠 챙기는 거 잊지 마.,chū mén de shí hòu jì de dài shàng yào shi。,,,,“钥匙”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
74,学习,xué xí,공부하다,학습,我最近每天都在学习中文。,나 요즘 매일 중국어 공부하고 있어.,wǒ zuì jìn měi tiān dōu zài xué xí zhōng wén。,你平时在哪儿学习？,너 보통 어디서 공부해?,nǐ píng shí zài nǎ ér xué xí？,学习不进去的话就先休息一下。,공부가 도저히 안 들어오면 먼저 좀 쉬어.,xué xí bù jìn qù de huà jiù xiān xiū xī yī xià。,,,,“学习”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
75,订,dìng,예약하다/예매하다,정,我昨晚已经订好了。,나 어젯밤에 이미 예약해 뒀어.,wǒ zuó wǎn yǐ jīng dìng hǎo le。,这家店要提前订吗？,이 집은 미리 예약해야 해?,zhè jiā diàn yào tí qián dìng ma？,如果周末去的话，最好先订。,주말에 갈 거면 미리 예약하는 게 좋아.,rú guǒ zhōu mò qù de huà， zuì hǎo xiān dìng。,我已经……了,如果……的话，,,"“订”은 식당, 호텔, 표를 예약할 때 아주 자주 쓰는 회화 동사다.",“先订 / 订好了 / 提前订”처럼 시간 표현과 붙여 연습하면 실전 활용도가 높다.
76,价格,jià gé,가격,가격,这边价格比我想的高一点。,여긴 가격이 생각보다 좀 높아.,zhè biān jià gé bǐ wǒ xiǎng de gāo yì diǎn。,这个价格还能谈吗？,이 가격은 더 협상할 수 있어?,zhè ge jià gé hái néng tán ma？,价格要是差不多，我们今天就定下来。,가격이 얼추 맞으면 오늘 바로 정하자.,jià gé yào shì chà bu duō， wǒ men jīn tiān jiù dìng xià lái。,我想……,A 比 B ……,,“价格”는 쇼핑·결제·비교 상황에서 활용도가 높은 표현이다.,가격·색상·사이즈를 묻는 짧은 질문형과 같이 익히면 실제 매장 회화에 바로 쓸 수 있다.
77,雨伞,yǔ sǎn,우산,우산,今天可能要下雨，我把雨伞带上了。,오늘 비 올 것 같아서 우산 챙겼다.,jīn tiān kě néng yào xià yǔ， wǒ bǎ yǔ sǎn dài shàng le。,你出门带雨伞了吗？,너 나갈 때 우산 챙겼어?,nǐ chū mén dài yǔ sǎn le ma？,要不你先用我的雨伞吧。,너 내 우산 먼저 써.,yào bù nǐ xiān yòng wǒ de yǔ sǎn ba。,可能……,要不……,,“雨伞”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
78,试穿,shì chuān,입어보다,시천,这件外套我刚试穿了一下。,이 외투 방금 한번 입어봤어.,zhè jiàn wài tào wǒ gāng shì chuān le yī xià。,你要不要进去试穿一下？,들어가서 한번 입어볼래?,nǐ yào bù yào jìn qù shì chuān yī xià？,试穿合适的话，我就直接买了。,입어보고 잘 맞으면 바로 살게.,shì chuān hé shì de huà， wǒ jiù zhí jiē mǎi le。,要不……,,,“试穿”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
79,出发,chū fā,출발하다,출발,我们差不多可以出发了。,우리 슬슬 출발해도 되겠다.,wǒ men chà bu duō kě yǐ chū fā le。,你们几点出发？,너희 몇 시에 출발해?,nǐ men jǐ diǎn chū fā？,你们出发了就给我发个消息。,너희 출발하면 나한테 메시지 하나 줘.,nǐ men chū fā le jiù gěi wǒ fā gè xiāo xī。,,,,“出发”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
80,口味,kǒu wèi,맛,구미,这家的口味比较清淡。,이 집 맛은 비교적 담백한 편이야.,zhè jiā de kǒu wèi bǐ jiào qīng dàn。,你能吃得惯这个口味吗？,너 이 맛에 잘 적응할 수 있어?,nǐ néng chī dé guàn zhè ge kǒu wèi ma？,要不我们点个别的口味试试。,우리 다른 맛도 하나 시켜 볼까?,yào bù wǒ men diǎn gè bié de kǒu wèi shì shì。,比较……,要不……,A 比 B ……,“口味”는 쇼핑·결제·비교 상황에서 활용도가 높은 표현이다.,가격·색상·사이즈를 묻는 짧은 질문형과 같이 익히면 실제 매장 회화에 바로 쓸 수 있다.
81,牙刷,yá shuā,칫솔,아쇄,牙刷我先放这儿了。,牙刷는 일단 여기 둘게.,yá shuā wǒ xiān fàng zhè ér le。,牙刷还有吗？,牙刷 아직 남아 있어?,yá shuā hái yǒu ma？,用完以后把牙刷放回去就行。,다 쓰고 나면 牙刷 다시 제자리에 두면 돼.,yòng wán yǐ hòu bǎ yá shuā fàng huí qù jiù xíng。,,,,“牙刷”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
82,改,gǎi,고치다/바꾸다,개,这句我想再改一下。,이 문장은 한 번 더 고치고 싶다.,zhè jù wǒ xiǎng zài gǎi yī xià。,这个名字还能改吗？,이 이름 아직 바꿀 수 있어?,zhè ge míng zì hái néng gǎi ma？,要是不合适的话，我们现在就改。,안 어울리면 지금 바로 바꾸자.,yào shì bù hé shì de huà， wǒ men xiàn zài jiù gǎi。,我想……,,,“改”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
83,见面,jiàn miàn,만나다,견면,我们先见面再聊吧。,우리 일단 만나서 얘기하자.,wǒ men xiān jiàn miàn zài liáo ba。,你明天有空见面吗？,너 내일 만나서 얘기할 시간 있어?,nǐ míng tiān yǒu kòng jiàn miàn ma？,见面以后，有些事比较好说。,직접 만나면 어떤 말은 훨씬 하기 쉬워.,jiàn miàn yǐ hòu， yǒu xiē shì bǐ jiào hǎo shuō。,比较……,A 比 B ……,,“见面”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
84,被子,bèi zi,이불,피자,昨晚有点冷，我又加了一床被子。,어젯밤 좀 추워서 이불을 하나 더 덮었다.,zuó wǎn yǒu diǎn lěng， wǒ yòu jiā le yī chuáng bèi zi。,这床被子够不够厚？,이 이불은 충분히 두꺼워?,zhè chuáng bèi zi gòu bù gòu hòu？,要是你怕冷，我再给你拿一床被子。,네가 추위 타면 이불 한 채 더 가져다줄게.,yào shì nǐ pà lěng， wǒ zài gěi nǐ ná yī chuáng bèi zi。,有点……,,,“被子”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
85,商量,shāng liáng,상의하다,상량,这事我想先跟你商量一下。,이 일은 먼저 너랑 상의하고 싶어.,zhè shì wǒ xiǎng xiān gēn nǐ shāng liáng yī xià。,你跟家里商量过了吗？,집이랑 상의해 봤어?,nǐ gēn jiā lǐ shāng liáng guò le ma？,商量好了我们再决定。,의논 끝나면 그다음에 결정하자.,shāng liáng hǎo le wǒ men zài jué dìng。,我想……,……过,,“商量”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
86,快递,kuài dì,택배,쾌체,快递我刚拿上来。,택배 방금 갖고 올라왔어.,kuài dì wǒ gāng ná shàng lái。,你的快递放哪儿了？,네 快递 어디에 놔뒀어?,nǐ de kuài dì fàng nǎ ér le？,要是今天不在家，我让快递放门口。,오늘 집에 없으면 택배 문 앞에 두라고 할게.,yào shì jīn tiān bù zài jiā， wǒ ràng kuài dì fàng mén kǒu。,,,,“快递”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
87,介绍,jiè shào,소개하다,소개,我先简单介绍一下。,내가 먼저 간단히 소개할게.,wǒ xiān jiǎn dān jiè shào yī xià。,要不要我给你介绍一下他？,내가 그 사람 소개해 줄까?,yào bù yào wǒ gěi nǐ jiè shào yī xià tā？,等大家到了，我再给你们互相介绍。,다 오면 내가 서로 소개해 줄게.,děng dà jiā dào le， wǒ zài gěi nǐ men hù xiāng jiè shào。,要不……,,,"“介绍”는 자기소개, 사람 소개, 상황 설명에서 모두 자주 쓰는 핵심 동사다.",“介绍一下 / 给你介绍 / 互相介绍” 세 패턴이 특히 실전적이다.
88,交,jiāo,내다/제출하다,교,作业我已经交了。,숙제는 이미 냈어.,zuò yè wǒ yǐ jīng jiāo le。,这个表今天几点前要交？,이 양식은 오늘 몇 시 전까지 내야 해?,zhè ge biǎo jīn tiān jǐ diǎn qián yào jiāo？,来不及的话，先交一版也行。,시간이 없으면 일단 한 번 버전이라도 내도 돼.,lái bù jí de huà， xiān jiāo yī bǎn yě xíng。,我已经……了,如果……的话，,,“交”는 숙제·서류·버전을 제출할 때 입말에서 아주 자주 쓰인다.,“交作业 / 交材料 / 先交一版” 식으로 목적어와 함께 묶어 익히면 편하다.
