번호,단어,병음,뜻,음독,예문1_중국어,예문1_한국어,예문1_병음,예문2_중국어,예문2_한국어,예문2_병음,예문3_중국어,예문3_한국어,예문3_병음,자주쓰는패턴1,자주쓰는패턴2,자주쓰는패턴3,학습포인트1,학습포인트2
44,土豆,tǔ dòu,감자,토두,冰箱里还有两个土豆。,냉장고에 감자 두 개가 더 있다.,bīng xiāng lǐ hái yǒu liǎng gè tǔ dòu。,你做咖喱会放土豆吗？,너 카레 할 때 감자 넣어?,nǐ zuò gā lí huì fàng tǔ dòu ma？,要不明天再买点土豆回来。,내일 감자를 좀 더 사 올까?,yào bù míng tiān zài mǎi diǎn tǔ dòu huí lái。,要不……,,,“土豆”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
45,陪,péi,동행하다,배,今天我可以陪你去。,오늘은 내가 같이 가줄 수 있어.,jīn tiān wǒ kě yǐ péi nǐ qù。,你能陪我一下吗？,나 잠깐 같이 가줄래?,nǐ néng péi wǒ yī xià ma？,如果你害怕的话，我一直陪着你。,네가 무서우면 내가 계속 같이 있을게.,rú guǒ nǐ hài pà de huà， wǒ yì zhí péi zhe nǐ。,如果……的话，……,一直……,,“陪”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
46,闲,xián,한가하다,한,我这两天没那么闲。,나 요 며칠 그렇게 한가하지 않아.,wǒ zhè liǎng tiān méi nà me xián。,你最近很闲吗？,너 요즘 좀 한가해?,nǐ zuì jìn hěn xián ma？,闲下来以后我想去运动。,좀 한가해지면 운동하러 가고 싶어.,xián xià lái yǐ hòu wǒ xiǎng qù yùn dòng。,我想……,,,“闲”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 闲” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
47,办法,bàn fǎ,방법,판법,这个办法我觉得挺管用的。,이 방법 꽤 통할 것 같아.,zhè ge bàn fǎ wǒ jué de tǐng guǎn yòng de。,你觉得这个办法行不行？,이 방법 괜찮을 것 같아?,nǐ jué de zhè ge bàn fǎ xíng bù xíng？,如果这个办法不行，我们就换一个。,이 방법이 안 되면 다른 걸로 바꾸자.,rú guǒ zhè ge bàn fǎ bù xíng， wǒ men jiù huàn yí gè。,我觉得……,如果……的话，,,“办法”는 방법이나 해결책을 말할 때 입말에서 아주 자주 쓰는 표현이다.,“想办法 / 没办法 / 这个办法”처럼 덩어리로 익히면 실제 회화에서 바로 쓰기 쉽다.
48,接电话,jiē diàn huà,전화를 받다,접전화,我刚在开会，没接电话。,방금 회의 중이라 전화를 못 받았다.,wǒ gāng zài kāi huì， méi jiē diàn huà。,你刚才是不是在接电话？,방금 전화받고 있었어?,nǐ gāng cái shì bú shì zài jiē diàn huà？,你先接电话，我等你一会儿。,"너 먼저 전화 받아, 내가 잠깐 기다릴게.",nǐ xiān jiē diàn huà， wǒ děng nǐ yī huì er。,我刚……,,,“接电话”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
49,牛肉,niú ròu,소고기,우육,这家店的牛肉还不错。,이 가게 소고기는 꽤 괜찮다.,zhè jiā diàn de niú ròu hái bú cuò。,你吃火锅会点牛肉吗？,너 훠궈 먹을 때 소고기 시켜?,nǐ chī huǒ guō huì diǎn niú ròu ma？,要不今天晚上买点牛肉回去煎。,오늘 저녁에 소고기 좀 사서 구워 먹을까?,yào bù jīn tiān wǎn shàng mǎi diǎn niú ròu huí qù jiān。,要不……,,,“牛肉”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
50,原谅,yuán liàng,용서하다,원량,这次算了吧，我原谅你了。,이번은 됐어요. 제가 용서할게요.,zhè cì suàn le ba， wǒ yuán liàng nǐ le。,这件事你能原谅他吗？,이 일은 그를 용서할 수 있나요?,zhè jiàn shì nǐ néng yuán liàng tā ma？,他都道歉了，你就原谅他一次吧。,그도 사과했으니 한 번만 용서해줘요.,tā dōu dào qiàn le， nǐ jiù yuán liàng tā yī cì ba。,,,,“原谅”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
51,鸡肉,jī ròu,닭고기,계육,我今天想吃点鸡肉。,오늘은 닭고기가 좀 먹고 싶다.,wǒ jīn tiān xiǎng chī diǎn jī ròu。,你喜欢鸡肉还是牛肉？,"너는 닭고기가 좋아, 소고기가 좋아?",nǐ xǐ huān jī ròu hái shì niú ròu？,如果太晚了，就简单做个鸡肉沙拉吧。,너무 늦으면 간단하게 닭고기 샐러드나 만들자.,rú guǒ tài wǎn le， jiù jiǎn dān zuò gè jī ròu shā lā ba。,太……了,,,“鸡肉”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
52,回消息,huí xiāo xī,답장하다,회소식,我刚看到，现在就回消息。,방금 봤으니 지금 바로 답장할게.,wǒ gāng kàn dào， xiàn zài jiù huí xiāo xī。,你怎么一直没回消息？,왜 계속 답장이 없었어?,nǐ zěn me yì zhí méi huí xiāo xī？,你先忙，忙完再回消息就行。,"너 먼저 바쁜 일 하고, 끝나면 답장하면 돼.",nǐ xiān máng， máng wán zài huí xiāo xī jiù xíng。,我刚……,一直……,,“回消息”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
53,快递员,kuài dì yuán,택배기사,쾌체원,快递员刚给我打了电话。,택배기사님이 방금 나한테 전화했어.,kuài dì yuán gāng gěi wǒ dǎ le diàn huà。,快递员是不是快到了？,택배기사님 거의 도착한 거 아니야?,kuài dì yuán shì bú shì kuài dào le？,你要是不在家，我先跟快递员说放门口。,네가 집에 없으면 내가 먼저 기사님께 문 앞에 두라고 할게.,nǐ yào shì bù zài jiā， wǒ xiān gēn kuài dì yuán shuō fàng mén kǒu。,,,,"“快递员”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟快递员说 / 问快递员 / 找快递员”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
54,登录,dēng lù,로그인하다,등록,我刚登录进去。,나 방금 로그인했어.,wǒ gāng dēng lù jìn qù。,你现在能登录吗？,너 지금 로그인돼?,nǐ xiàn zài néng dēng lù ma？,如果一直登录不上，你就先改密码。,계속 로그인이 안 되면 우선 비밀번호부터 바꿔.,rú guǒ yì zhí dēng lù bù shàng， nǐ jiù xiān gǎi mì mǎ。,我刚……,一直……,,“登录”는 계정·앱·웹사이트 문맥에서 매우 자주 나오는 표현이다.,“登录不上 / 先登录 / 重新登录”처럼 묶어서 익히면 실제 사용 속도가 빨라진다.
55,酱油,jiàng yóu,간장,장유,家里酱油快没了。,집에 간장이 거의 다 떨어졌다.,jiā lǐ jiàng yóu kuài méi le。,做这个菜要放酱油吗？,이 요리에는 간장 넣어?,zuò zhè ge cài yào fàng jiàng yóu ma？,酱油别放太多，不然会咸。,"간장은 너무 많이 넣지 마, 그러면 짜다.",jiàng yóu bié fàng tài duō， bù rán huì xián。,,,,“酱油”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
56,搜,sōu,검색하다/찾아보다,수,我刚搜了一下，附近有两家药店。,방금 검색해 봤는데 근처에 약국 두 군데 있어.,wǒ gāng sōu le yī xià， fù jìn yǒu liǎng jiā yào diàn。,你搜到那家店了吗？,그 가게 찾아봤어?,nǐ sōu dào nà jiā diàn le ma？,要是搜不到，你换个关键词再试试。,검색이 안 되면 키워드를 바꿔서 다시 찾아봐.,yào shì sōu bú dào， nǐ huàn gè guān jiàn cí zài shì shì。,我刚……,如果……的话，,,“搜”는 휴대폰으로 검색할 때 실제 회화에서 많이 쓰는 짧은 입말이다.,“搜一下 / 没搜到 / 换个关键词搜” 식으로 같이 익히면 바로 활용된다.
57,女朋友,nǚ péng yǒu,여자친구,녀붕우,我女朋友今天加班。,내 여자친구 오늘 야근해.,wǒ nǚ péng yǒu jīn tiān jiā bān。,这事你跟女朋友说了吗？,이 일 너 여자친구한테 말했어?,zhè shì nǐ gēn nǚ péng yǒu shuō le ma？,下班以后我去接女朋友。,퇴근하고 여자친구 데리러 갈게.,xià bān yǐ hòu wǒ qù jiē nǚ péng yǒu。,,,,"“女朋友”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟女朋友说 / 问女朋友 / 找女朋友”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
58,下载,xià zài,다운로드하다,하재,我已经下载好了。,나는 이미 다운로드해 뒀다.,wǒ yǐ jīng xià zài hǎo le。,这个你下载了吗？,이거 다운로드했어?,zhè ge nǐ xià zài le ma？,如果网慢的话，下载可能要等一会儿。,인터넷이 느리면 다운로드에 좀 시간이 걸릴 수 있다.,rú guǒ wǎng màn de huà， xià zài kě néng yào děng yī huì er。,我已经……了,可能……,如果……的话，……,“下载”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
59,预约,yù yuē,예약,예약,我已经预约好了。,이미 예약해 뒀어.,wǒ yǐ jīng yù yuē hǎo le。,你预约的是几点？,너 예약 몇 시야?,nǐ yù yuē de shì jǐ diǎn？,如果预约改了的话，记得告诉我。,예약이 바뀌면 꼭 알려 줘.,rú guǒ yù yuē gǎi le de huà， jì de gào sù wǒ。,我已经……了,如果……的话，……,,“预约”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
60,继续,jì xù,계속하다,계속,这事我们明天再继续。,이 일은 내일 다시 이어서 하자.,zhè shì wǒ men míng tiān zài jì xù。,你还打算继续吗？,너 아직도 계속할 생각이야?,nǐ hái dǎ suàn jì xù ma？,要是觉得值得，就继续做下去。,가치 있다고 생각되면 계속 해.,yào shì jué de zhí de， jiù jì xù zuò xià qù。,,,,“继续”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
61,位置,wèi zhì,위치,위치,这个位置挺好找的。,이 위치는 찾기 꽤 쉬워.,zhè ge wèi zhì tǐng hǎo zhǎo de。,你现在方便把位置发我吗？,지금 위치 보내 줄 수 있어?,nǐ xiàn zài fāng biàn bǎ wèi zhì fā wǒ ma？,你到位置以后给我发消息。,위치 도착하면 메시지해 줘.,nǐ dào wèi zhì yǐ hòu gěi wǒ fā xiāo xī。,,,,“位置”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
62,开始,kāi shǐ,시작하다,개시,我们差不多可以开始了。,우리 슬슬 시작해도 되겠다.,wǒ men chà bu duō kě yǐ kāi shǐ le。,现在开始吗？,지금 시작할까?,xiàn zài kāi shǐ ma？,等他来了我们就开始。,그 사람 오면 바로 시작하자.,děng tā lái le wǒ men jiù kāi shǐ。,,,,“开始”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
63,有点,yǒu diǎn,좀,유점,我今天有点累。,나 오늘 좀 피곤해.,wǒ jīn tiān yǒu diǎn lèi。,你是不是有点不舒服？,너 좀 불편한 거 아니야?,nǐ shì bú shì yǒu diǎn bù shū fú？,这个有点贵，要不换一个。,이건 좀 비싸니 다른 걸로 바꿀까?,zhè ge yǒu diǎn guì， yào bù huàn yí gè。,有点……,要不……,,"“有点”는 문장을 부드럽게 이어 주거나, 말투를 조절해 주는 고빈도 표현이다.",비슷한 내용도 “有点” 하나로 말맛이 달라지므로 짧은 문장째 통으로 익히는 게 좋다.
64,插座,chā zuò,콘센트,삽좌,这个插座有点松。,이 콘센트는 좀 헐겁다.,zhè ge chā zuò yǒu diǎn sōng。,这儿有空着的插座吗？,여기 비어 있는 콘센트 있어?,zhè ér yǒu kòng zhe de chā zuò ma？,你先别插那个插座，我觉得有点松。,"그 콘센트는 일단 꽂지 마, 좀 헐거워 보여.",nǐ xiān bié chā nà ge chā zuò， wǒ jué de yǒu diǎn sōng。,有点……,,,“插座”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
65,简单,jiǎn dān,간단하다,간단,这个操作其实很简单。,이 조작은 사실 아주 간단해.,zhè ge cāo zuò qí shí hěn jiǎn dān。,你觉得这个办法够简单吗？,이 방법 충분히 간단하다고 생각해?,nǐ jué de zhè ge bàn fǎ gòu jiǎn dān ma？,太复杂的话，我们就换个简单一点的。,너무 복잡하면 더 간단한 걸로 바꾸자.,tài fù zá de huà， wǒ men jiù huàn gè jiǎn dān yì diǎn de。,其实……,,,“简单”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 简单” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
66,教室,jiào shì,교실,교실,教室现在应该开着。,교실 지금 열려 있을 거야.,jiào shì xiàn zài yīng gāi kāi zhe。,这间教室有人用吗？,이 교실 누가 쓰고 있어?,zhè jiān jiào shì yǒu rén yòng ma？,你先去教室占个位置。,너 먼저 교실 가서 자리 좀 맡아 줘.,nǐ xiān qù jiào shì zhàn gè wèi zhì。,应该……,,,“教室”는 학교·업무·협업 상황에서 바로 써먹기 좋은 핵심 표현이다.,보기·말하기·정리하기·보내기 같은 흐름 안에서 통째로 익히면 말하기가 자연스러워진다.
67,清楚,qīng chǔ,분명하다,청초,这件事我现在清楚多了。,이 일은 이제 훨씬 분명해졌어.,zhè jiàn shì wǒ xiàn zài qīng chǔ duō le。,我说得够清楚吗？,내 설명 충분히 분명했어?,wǒ shuō dé gòu qīng chǔ ma？,不清楚的地方，你再问我。,불분명한 부분 있으면 다시 물어봐.,bù qīng chǔ de dì fāng， nǐ zài wèn wǒ。,,,,“清楚”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 清楚” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
68,图书馆,tú shū guǎn,도서관,도서관,我下午想去图书馆看看书。,나 오후에 도서관 가서 책 좀 보고 싶어.,wǒ xià wǔ xiǎng qù tú shū guǎn kàn kàn shū。,你平时会去图书馆自习吗？,너 평소에 도서관 가서 자습해?,nǐ píng shí huì qù tú shū guǎn zì xí ma？,要不我们先在图书馆门口见？,우리 일단 도서관 앞에서 먼저 볼까?,yào bù wǒ men xiān zài tú shū guǎn mén kǒu jiàn？,要不……,,,“图书馆”는 학교·업무·협업 상황에서 바로 써먹기 좋은 핵심 표현이다.,보기·말하기·정리하기·보내기 같은 흐름 안에서 통째로 익히면 말하기가 자연스러워진다.
69,难,nán,어렵다,난,这个字有点难写。,이 글자는 좀 쓰기 어려워.,zhè ge zì yǒu diǎn nán xiě。,你觉得这题难吗？,이 문제 어렵다고 느껴?,nǐ jué de zhè tí nán ma？,太难的话，先跳过去也行。,너무 어려우면 일단 건너뛰어도 돼.,tài nán de huà， xiān tiào guò qù yě xíng。,……过,有点……,,“难”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 难” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
70,老师,lǎo shī,선생님,노사,老师刚把作业发群里了。,선생님이 방금 숙제를 단체방에 올렸어.,lǎo shī gāng bǎ zuò yè fā qún lǐ le。,这道题你要不要课后再问老师？,이 문제는 수업 끝나고 선생님께 다시 물어볼래?,zhè dào tí nǐ yào bù yào kè hòu zài wèn lǎo shī？,有问题的话，明天上课再跟老师说。,문제가 있으면 내일 수업 때 선생님께 다시 말해.,yǒu wèn tí de huà， míng tiān shàng kè zài gēn lǎo shī shuō。,要不……,,,“老师”는 학교·업무·협업 상황에서 바로 써먹기 좋은 핵심 표현이다.,보기·말하기·정리하기·보내기 같은 흐름 안에서 통째로 익히면 말하기가 자연스러워진다.
71,回答,huí dá,대답하다,회답,这个问题我现在不好回答。,이 질문은 지금 당장은 답하기 어렵네.,zhè ge wèn tí wǒ xiàn zài bù hǎo huí dá。,你还没回答我呢。,아직 내 질문에 답 안 했잖아.,nǐ hái méi huí dá wǒ ne。,想清楚以后再回答也行。,생각 정리한 다음에 답해도 돼.,xiǎng qīng chǔ yǐ hòu zài huí dá yě xíng。,……以后，再……,,,“回答”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
72,安全,ān quán,안전,안전,晚上一个人回家还是要注意安全。,밤에 혼자 집에 갈 때는 그래도 안전에 신경 써야 해.,wǎn shàng yí gè rén huí jiā hái shì yào zhù yì ān quán。,你觉得这儿安全吗？,너는 여기 안전하다고 생각해?,nǐ jué de zhè ér ān quán ma？,如果太晚了，我们还是打车吧，比较安全。,"너무 늦으면 그래도 택시 타자, 그게 더 안전해.",rú guǒ tài wǎn le， wǒ men hái shì dǎ chē ba， bǐ jiào ān quán。,太……了,比较……,A 比 B ……,“安全”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 安全” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
73,尺码,chǐ mǎ,사이즈,척마,这个尺码我穿正好。,이 사이즈는 나한테 딱 맞아.,zhè ge chǐ mǎ wǒ chuān zhèng hǎo。,你平时穿什么尺码？,너 평소에 무슨 사이즈 입어?,nǐ píng shí chuān shén me chǐ mǎ？,要是这个尺码小了，我再去换。,이 사이즈가 작으면 내가 다시 바꾸러 갈게.,yào shì zhè ge chǐ mǎ xiǎo le， wǒ zài qù huàn。,,,,“尺码”는 쇼핑·결제·비교 상황에서 활용도가 높은 표현이다.,가격·색상·사이즈를 묻는 짧은 질문형과 같이 익히면 실제 매장 회화에 바로 쓸 수 있다.
74,钱包,qián bāo,지갑,전포,我出门前先看了一下钱包带没带。,나가기 전에 지갑 챙겼는지 먼저 확인했어.,wǒ chū mén qián xiān kàn le yī xià qián bāo dài méi dài。,你看到我钱包没有？,내 지갑 봤어?,nǐ kàn dào wǒ qián bāo méi yǒu？,钱包别放外套口袋里，容易掉。,"지갑은 겉옷 주머니에 넣지 마, 떨어지기 쉬워.",qián bāo bié fàng wài tào kǒu dài lǐ， róng yì diào。,,,,“钱包”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
75,休息,xiū xī,쉬다,휴식,我昨晚没睡好，想早点休息。,나 어젯밤 잠을 잘 못 자서 오늘은 일찍 쉬고 싶어.,wǒ zuó wǎn méi shuì hǎo， xiǎng zǎo diǎn xiū xī。,你要不要先休息一下？,너 먼저 좀 쉴래?,nǐ yào bù yào xiān xiū xī yī xià？,忙完这阵子一定得好好休息。,이번 바쁜 거 끝나면 꼭 푹 쉬어야 해.,máng wán zhè zhèn zi yí dìng děi hǎo hǎo xiū xī。,要不……,,,“休息”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
76,便宜,pián yi,저렴하다,변의,这家店的水果还挺便宜的。,이 가게 과일 꽤 싸다.,zhè jiā diàn de shuǐ guǒ hái tǐng pián yi de。,你怎么买到这么便宜的？,이걸 어떻게 이렇게 싸게 샀어?,nǐ zěn me mǎi dào zhè me pián yi de？,便宜的话，我就多买一点。,싸면 나 좀 더 살게.,pián yi de huà， wǒ jiù duō mǎi yì diǎn。,,,,“便宜”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 便宜” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
77,名字,míng zì,이름,명자,这个名字我总记不住。,이 이름은 자꾸 기억이 안 난다.,zhè ge míng zì wǒ zǒng jì bú zhù。,你还记得他叫什么名字吗？,그 사람 이름 아직 기억나?,nǐ hái jì de tā jiào shén me míng zì ma？,你把名字发我，我先存一下。,이름 보내 주면 내가 먼저 저장해 둘게.,nǐ bǎ míng zì fā wǒ， wǒ xiān cún yī xià。,,,,“名字”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
78,口罩,kǒu zhào,마스크,구조,口罩我包里还有一个。,마스크 가방에 하나 더 있어.,kǒu zhào wǒ bāo lǐ hái yǒu yí gè。,你要不要先戴上口罩？,일단 마스크 먼저 쓸래?,nǐ yào bù yào xiān dài shàng kǒu zhào？,外面人多，还是戴口罩吧。,밖에 사람 많으니까 그냥 마스크 쓰자.,wài miàn rén duō， hái shì dài kǒu zhào ba。,要不……,还是……吧,,“口罩”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
79,试试,shì shì,한번 해보다,시시,这个我想先试试。,이건 내가 먼저 한번 해보고 싶어.,zhè ge wǒ xiǎng xiān shì shì。,你要不要也试试？,너도 한번 해볼래?,nǐ yào bù yào yě shì shì？,不先试试，怎么知道合不合适？,먼저 안 해 보면 맞는지 아닌지 어떻게 알아?,bù xiān shì shì， zěn me zhī dào hé bù hé shì？,我想……,要不……,,“试试”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
80,脏,zàng,더럽다,장,这双鞋今天有点脏。,이 신발 오늘 좀 더러워.,zhè shuāng xié jīn tiān yǒu diǎn zàng。,桌子是不是有点脏了？,테이블이 좀 더러워진 것 같지 않아?,zhuō zi shì bú shì yǒu diǎn zāng le？,脏的话我等会儿擦一下。,더러우면 내가 이따가 닦을게.,zàng de huà wǒ děng huì er cā yī xià。,有点……,,,“脏”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 脏” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
81,外卖,wài mài,배달음식,외매,我今天不想做饭，就点了外卖。,오늘 요리하기 싫어서 배달 시켰어.,wǒ jīn tiān bù xiǎng zuò fàn， jiù diǎn le wài mài。,你的外卖到楼下了吗？,네 外卖 벌써 아래 도착했어?,nǐ de wài mài dào lóu xià le ma？,外卖到了的话，你帮我顺手拿一下。,外卖 도착하면 나 대신 좀 가져다줘.,wài mài dào le de huà， nǐ bāng wǒ shùn shǒu ná yī xià。,,,,“外卖”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
82,牙膏,yá gāo,치약,아고,牙膏我先放洗手台上了。,치약은 내가 먼저 세면대 위에 놔뒀어.,yá gāo wǒ xiān fàng xǐ shǒu tái shàng le。,这个牙膏你用得惯吗？,이 치약 너한테 잘 맞아?,zhè ge yá gāo nǐ yòng dé guàn ma？,要是快用完了，回头记得再买一支牙膏。,거의 다 썼으면 나중에 치약 한 개 더 사는 거 잊지 마.,yào shì kuài yòng wán le， huí tóu jì de zài mǎi yī zhī yá gāo。,,,,“牙膏”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
83,填,tián,기입하다/채우다,전,报名表我已经填好了。,신청서는 이미 다 작성했어.,bào míng biǎo wǒ yǐ jīng tián hǎo le。,这里要填手机号吗？,여기 휴대폰 번호 적어야 해?,zhè lǐ yào tián shǒu jī hào ma？,你先填，填完我再帮你看。,"네가 먼저 적고, 다 적으면 내가 다시 봐줄게.",nǐ xiān tián， tián wán wǒ zài bāng nǐ kàn。,我已经……了,,,“填”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
84,帮忙,bāng máng,도와주다,방망,这事我可以帮忙。,이 일은 내가 도와줄 수 있어.,zhè shì wǒ kě yǐ bāng máng。,你现在方便来帮忙吗？,너 지금 와서 좀 도와줄 수 있어?,nǐ xiàn zài fāng biàn lái bāng máng ma？,要是你没空，我找别人帮忙也行。,네가 바쁘면 다른 사람한테 부탁해도 돼.,yào shì nǐ méi kòng， wǒ zhǎo bié rén bāng máng yě xíng。,现在方便吗？,,,“帮忙”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
85,打印,dǎ yìn,인쇄하다,타인,这份材料我已经打印出来了。,이 자료는 이미 출력해 놨어.,zhè fèn cái liào wǒ yǐ jīng dǎ yìn chū lái le。,你可以帮我打印两份吗？,두 부만 출력해 줄 수 있어?,nǐ kě yǐ bāng wǒ dǎ yìn liǎng fèn ma？,要是着急用，我现在就去打印。,급하게 써야 하면 내가 지금 바로 출력하러 갈게.,yào shì zháo jí yòng， wǒ xiàn zài jiù qù dǎ yìn。,你可以……吗？,我已经……了,,“打印”는 학교·회사·관공서에서 자주 필요한 아주 실용적인 동사다.,“打印出来 / 打印两份 / 去打印” 세 표현만 익혀도 바로 써먹기 쉽다.
86,推荐,tuī jiàn,추천하다,추천,这家店是朋友推荐给我的。,이 가게는 친구가 저에게 추천해준 곳이에요.,zhè jiā diàn shì péng yǒu tuī jiàn gěi wǒ de。,你有没有想推荐的地方？,추천하고 싶은 곳 있어요?,nǐ yǒu méi yǒu xiǎng tuī jiàn de dì fāng？,你要是第一次来，我推荐你点这个。,처음 오셨다면 이걸 주문하시는 걸 추천해요.,nǐ yào shì dì yī cì lái， wǒ tuī jiàn nǐ diǎn zhè ge。,,,,“推荐”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
87,搞定,gǎo dìng,"끝내다, 처리하다",고정,这事我已经搞定了。,이 일은 내가 이미 처리했어.,zhè shì wǒ yǐ jīng gǎo dìng le。,你那边搞定了吗？,너희 쪽은 끝났어?,nǐ nà biān gǎo dìng le ma？,今天要是还没搞定，我们明天继续。,오늘 아직 못 끝내면 내일 계속하자.,jīn tiān yào shì hái méi gǎo dìng， wǒ men míng tiān jì xù。,我已经……了,如果……的话，……,,“搞定”는 일을 끝내거나 문제를 처리했을 때 실제 회화에서 정말 자주 나오는 말이다.,“搞定了 / 还没搞定 / 搞不定” 세 덩어리만 익혀도 활용도가 매우 높다.
